graph_id,world,fold,node_id,comparison,primary_arm,comparator_arm,metric,primary_value,comparator_value,comparator_instances,delta
graph_00,industrial_cooling_system,0,node_007,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_5,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,0,node_007,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_007,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,match_acc,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,0,node_007,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,gold_embedding_cosine,0.908331493067402,0.8997543509973142,1,0.008577142070087862
graph_00,industrial_cooling_system,0,node_007,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,mrr,0.25,0.05,1,0.2
graph_00,industrial_cooling_system,0,node_007,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_007,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_5,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,0,node_007,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_007,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,0,node_007,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,gold_embedding_cosine,0.908331493067402,0.9068706331186992,1,0.0014608599487028195
graph_00,industrial_cooling_system,0,node_007,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,mrr,0.25,0.05555555555555555,1,0.19444444444444445
graph_00,industrial_cooling_system,0,node_007,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_007,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,recall_at_5,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,0,node_007,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,match_acc,1.0,0.55,20,0.44999999999999996
