graph_id,world,shuffle_id,permutation_index,permutation_seed,permutation,permutation_sha256,adjacency_sha256,edge_count,support_validated,n,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode,oracle_minus_shuffle_match_acc,oracle_minus_shuffle_gold_embedding_cosine,oracle_minus_shuffle_mrr,oracle_minus_shuffle_recall_at_1,oracle_minus_shuffle_recall_at_5,oracle_minus_shuffle_exact_decode
graph_00,industrial_cooling_system,shuffle_11,11,74112,"[7, 1, 15, 11, 19, 5, 6, 4, 3, 16, 13, 8, 9, 2, 0, 14, 12, 17, 18, 10]",6f80efe0f57eeb81d7a2cc1226792998c351c1af595b571777807b407d8dfdae,55051e7a1bbc8279f6953ed4678eb0ed52162ff30f6fba90fe4ced342ff9a73e,26,1,20,0.3,0.6802790623092045,0.15312110984131108,0.0,0.25,0.0,0.7,-0.004687843098216682,0.13152174730154606,0.0,0.5,0.0
graph_00,industrial_cooling_system,shuffle_12,12,74113,"[13, 14, 8, 11, 9, 2, 6, 7, 17, 5, 19, 3, 12, 18, 0, 15, 4, 1, 16, 10]",f1aa8ec75a4e55301ecc81fe3042bd09925b0c623a40eb91b97c7483b6b9744f,ebd57570b0a073e4490909649a202454c2b35b8ca7ed37249b87ecf08998f9f5,26,1,20,0.55,0.689880373307578,0.15956224331224333,0.0,0.3,0.0,0.44999999999999996,-0.014289154096590151,0.1250806138306138,0.0,0.45,0.0
graph_00,industrial_cooling_system,shuffle_13,13,74114,"[16, 6, 9, 13, 2, 8, 14, 1, 10, 4, 15, 18, 3, 17, 0, 19, 11, 5, 12, 7]",78c09c717cbf3b4e2db993100b341bb99071cbb12f980fc069efdff618c95806,5a22f9686ef619e93b2df47d7ad074a31d5ef5e52c231f82f3c1f932bd612cd8,26,1,20,0.5,0.7786216568558983,0.16089752567693746,0.0,0.3,0.0,0.5,-0.10303043764491049,0.12374533146591968,0.0,0.45,0.0
graph_00,industrial_cooling_system,shuffle_14,14,74115,"[10, 9, 18, 13, 17, 1, 2, 16, 4, 14, 6, 12, 0, 11, 8, 15, 3, 5, 19, 7]",0c1580b23a32096524c3ab13ad7f19fcfa61d20b10d26e1b9bd1d572d1982862,619703a218cdc9faed25f98e390ed5d4de0ee19ef85ffa4a3900a0bf264cba69,26,1,20,0.3,0.6936899857437157,0.14922896032416158,0.0,0.2,0.0,0.7,-0.018098766532727795,0.13541389681869556,0.0,0.55,0.0
graph_00,industrial_cooling_system,shuffle_15,15,74116,"[6, 7, 15, 9, 13, 17, 5, 12, 8, 2, 0, 1, 18, 3, 14, 19, 10, 4, 11, 16]",506279820db15a18d473cc93d9050a057e9dbaced33ac0f933ac967a98e6138c,89e1e549ab85958e8857fd66425ae70eeaba570b06b2e12f14394689706f8761,26,1,20,0.45,0.673492004065236,0.19074765512265512,0.05,0.35,0.05,0.55,0.0020992151457518426,0.09389520202020202,-0.05,0.4,-0.05
graph_00,industrial_cooling_system,shuffle_16,16,74117,"[6, 10, 17, 16, 5, 3, 15, 18, 11, 9, 4, 8, 7, 2, 13, 12, 14, 0, 19, 1]",3a42bb878479cc885e50738e2a7c40e3ce13e414bff4dab0f7f19ee88698ffda,4cf7771e0cad224479d2ed3e69766befd734daffa1cde8a60bf42ff4605a708c,26,1,20,0.3,0.65568691865549,0.12039999109078055,0.0,0.1,0.0,0.7,0.019904300555497856,0.1642428660520766,0.0,0.65,0.0
graph_00,industrial_cooling_system,shuffle_17,17,74118,"[9, 5, 6, 14, 1, 7, 18, 11, 13, 8, 15, 2, 16, 4, 19, 12, 3, 17, 10, 0]",787009f94a1f237060fcddbdd55feb6545b48794fa919e17944d6c68f00bc70c,17b9a9c97e86c633ee10c92745d412b4481a07b09f8c48d62a23fc88a15d0944,26,1,20,0.3,0.7884799791195097,0.1213058877397113,0.0,0.2,0.0,0.7,-0.11288875990852187,0.16333696940314585,0.0,0.55,0.0
graph_00,industrial_cooling_system,shuffle_18,18,74119,"[12, 19, 3, 10, 5, 15, 18, 0, 7, 17, 9, 16, 13, 14, 4, 8, 2, 11, 6, 1]",9cb7cb4b43429894e8f6595939d25f3911c1f53ba7b1261250f78cdeb7a8d5f9,12eda9bfa462e44dd0546571dc150f39ac81d19facd5a26542aec08960842f26,26,1,20,0.55,0.6066554735541102,0.2005698906356801,0.0,0.45,0.0,0.44999999999999996,0.06893574565687766,0.08407296650717705,0.0,0.3,0.0
graph_00,industrial_cooling_system,shuffle_19,19,74120,"[17, 3, 18, 19, 2, 16, 12, 4, 5, 11, 1, 10, 7, 13, 6, 14, 0, 15, 8, 9]",774fe15466d19438bb4ce429d81d875564a3bdf4560d9ec309b365cafe60d124,b2c4163d0d8d49b997a2893f99d462d6830198083577b92e977f0ed7b665c4b2,26,1,20,0.25,0.7618573434054537,0.11234043218563343,0.0,0.15,0.0,0.75,-0.08626612419446589,0.1723024249572237,0.0,0.6,0.0
graph_01,logistics_and_delivery_system,shuffle_00,0,74201,"[16, 1, 15, 4, 12, 17, 19, 0, 5, 18, 8, 14, 2, 3, 13, 11, 6, 10, 9, 7]",255f60a8480e39ee53a8c626852827b40344e7ebc54fa31399dc93fdb1b7427a,c6e5e18e7f910330af9e492d83e8d52d2b664695560f807ef5ca6cd523b3f0fe,29,1,20,0.25,0.7298882339363806,0.1188819921908157,0.0,0.1,0.0,0.25,0.08169633399771636,0.0856057422969188,0.0,0.4,0.0
