row_type,scope,graph_id,arm,comparison,metric,n,judge_acc,judge_status,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode,mean,ci_low,ci_high,confidence_level,paired_win_rate,bootstrap_positive_rate,draws,seed,n_graphs,n_folds,n_nodes
comparison,aggregate,aggregate,,oracle_vs_reverse,recall_at_5,,,,,,,,,,0.1,-0.1,0.2833333333333333,0.95,0.16666666666666666,0.8174,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_reverse,recall_at_5,,,,,,,,,,0.2,0.0,0.45,0.95,0.2,0.9519,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_reverse,recall_at_5,,,,,,,,,,0.15,-0.1,0.4,0.95,0.2,0.8276,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_reverse,recall_at_5,,,,,,,,,,-0.05,-0.35,0.25,0.95,0.1,0.2931,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_reverse,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_reverse,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_reverse,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_reverse,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_no_graph,match_acc,,,,,,,,,,0.4166666666666667,0.16666666666666666,0.6666666666666666,0.95,0.4666666666666667,0.9986,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_no_graph,match_acc,,,,,,,,,,0.6,0.25,0.9,0.95,0.6,0.9999,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_no_graph,match_acc,,,,,,,,,,0.3,-0.2,0.7,0.95,0.45,0.8768,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_no_graph,match_acc,,,,,,,,,,0.35,0.1,0.6,0.95,0.35,0.9976,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_no_graph,gold_embedding_cosine,,,,,,,,,,-0.1698265003495328,-0.3295180307584376,-0.08262652393410698,0.95,0.08333333333333333,0.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_no_graph,gold_embedding_cosine,,,,,,,,,,-0.23838367206725763,-0.5879460445480359,-0.04392050107179549,0.95,0.25,0.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_no_graph,gold_embedding_cosine,,,,,,,,,,-0.10555613948081455,-0.18405419145062454,-0.04669819258811852,0.95,0.0,0.0,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_no_graph,gold_embedding_cosine,,,,,,,,,,-0.16553968950052617,-0.3034671802545248,-0.07773766011375756,0.95,0.0,0.0,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_no_graph,mrr,,,,,,,,,,0.12848273709148322,0.059725489596474515,0.2044960669275685,0.95,0.8833333333333333,1.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_no_graph,mrr,,,,,,,,,,0.2050668644650843,0.14717496406457323,0.27298022860459975,0.95,1.0,1.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_no_graph,mrr,,,,,,,,,,0.10940398567720551,0.05955606135995066,0.1698094921182188,0.95,0.85,1.0,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_no_graph,mrr,,,,,,,,,,0.0709773611321599,0.009711098031870197,0.14236443813968966,0.95,0.8,0.9894,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_no_graph,recall_at_1,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_no_graph,recall_at_1,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_no_graph,recall_at_1,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_no_graph,recall_at_1,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_no_graph,recall_at_5,,,,,,,,,,0.48333333333333334,0.21666666666666667,0.75,0.95,0.5166666666666667,1.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_no_graph,recall_at_5,,,,,,,,,,0.75,0.5,0.95,0.95,0.75,1.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_no_graph,recall_at_5,,,,,,,,,,0.4,0.05,0.7,0.95,0.45,0.9845,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_no_graph,recall_at_5,,,,,,,,,,0.3,0.05,0.6,0.95,0.35,0.9766,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_no_graph,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_no_graph,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_no_graph,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_no_graph,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_rawcorr,match_acc,,,,,,,,,,-0.03333333333333333,-0.31666666666666665,0.26666666666666666,0.95,0.08333333333333333,0.37,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_rawcorr,match_acc,,,,,,,,,,0.2,0.0,0.6,0.95,0.2,0.6758,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_rawcorr,match_acc,,,,,,,,,,-0.05,-0.3,0.2,0.95,0.05,0.2613,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_rawcorr,match_acc,,,,,,,,,,-0.25,-0.6,0.0,0.95,0.0,0.0,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_rawcorr,gold_embedding_cosine,,,,,,,,,,-0.1703965875049504,-0.32872570671398854,-0.08388356942606948,0.95,0.06666666666666667,0.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_rawcorr,gold_embedding_cosine,,,,,,,,,,-0.23903484544577935,-0.585915985299409,-0.04689023362042461,0.95,0.2,0.0,10000,88173,1,5,20
