graph_id,world,fold,arm,n,judge_acc,judge_status,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode
graph_01,logistics_and_delivery_system,1,uniform,4,,pending,0.25,0.9192585321561905,0.1287828947368421,0.0,0.25,0.0
graph_01,logistics_and_delivery_system,2,core_oracle_estimated_weights,4,,pending,0.5,0.7878896458394435,0.19356060606060604,0.0,0.5,0.0
graph_01,logistics_and_delivery_system,2,core_oracle_true_weights,4,,pending,0.5,0.8070291700481091,0.1893939393939394,0.0,0.5,0.0
graph_01,logistics_and_delivery_system,2,core_reversed_graph,4,,pending,0.25,0.8794163075810864,0.13591269841269843,0.0,0.25,0.0
graph_01,logistics_and_delivery_system,2,core_shuffled_graph,80,,pending,0.35,0.7172266312054358,0.12071124926629957,0.0,0.175,0.0
graph_01,logistics_and_delivery_system,2,raw_correlation,4,,pending,0.25,0.9113905318115811,0.08035714285714285,0.0,0.0,0.0
graph_01,logistics_and_delivery_system,2,uniform,4,,pending,0.25,0.9131031923307357,0.06979166666666667,0.0,0.0,0.0
graph_01,logistics_and_delivery_system,3,core_oracle_estimated_weights,4,,pending,0.0,0.8363290848095764,0.17302489177489178,0.0,0.25,0.0
graph_01,logistics_and_delivery_system,3,core_oracle_true_weights,4,,pending,0.0,0.8495069663649564,0.17113095238095238,0.0,0.25,0.0
graph_01,logistics_and_delivery_system,3,core_reversed_graph,4,,pending,0.5,0.8706427666072847,0.18831699346405228,0.0,0.5,0.0
graph_01,logistics_and_delivery_system,3,core_shuffled_graph,80,,pending,0.4,0.769680150670841,0.15265434089689123,0.0,0.3375,0.0
graph_01,logistics_and_delivery_system,3,raw_correlation,4,,pending,0.5,0.9208306970495606,0.14423076923076922,0.0,0.25,0.0
graph_01,logistics_and_delivery_system,3,uniform,4,,pending,0.5,0.9202316880095741,0.08630533553134172,0.0,0.0,0.0
graph_01,logistics_and_delivery_system,4,core_oracle_estimated_weights,4,,pending,0.5,0.7256469936878412,0.15863095238095237,0.0,0.25,0.0
graph_01,logistics_and_delivery_system,4,core_oracle_true_weights,4,,pending,0.5,0.7308069318321819,0.15863095238095237,0.0,0.25,0.0
graph_01,logistics_and_delivery_system,4,core_reversed_graph,4,,pending,0.5,0.8797737763325935,0.11904761904761904,0.0,0.0,0.0
graph_01,logistics_and_delivery_system,4,core_shuffled_graph,80,,pending,0.3625,0.7388444980237742,0.16466229692864753,0.0,0.2875,0.0
graph_01,logistics_and_delivery_system,4,raw_correlation,4,,pending,0.5,0.9167463829555601,0.1046626984126984,0.0,0.0,0.0
graph_01,logistics_and_delivery_system,4,uniform,4,,pending,0.0,0.9151892478846578,0.10065789473684211,0.0,0.25,0.0
graph_02,water_treatment_system,0,core_oracle_estimated_weights,4,,pending,0.25,0.8347071791957632,0.14093567251461986,0.0,0.5,0.0
graph_02,water_treatment_system,0,core_oracle_true_weights,4,,pending,0.5,0.862796220790571,0.14166666666666666,0.0,0.5,0.0
graph_02,water_treatment_system,0,core_reversed_graph,4,,pending,0.0,0.8693427453205704,0.14583333333333331,0.0,0.25,0.0
graph_02,water_treatment_system,0,core_shuffled_graph,80,,pending,0.25,0.7867834505415778,0.15568094530168836,0.0,0.2875,0.0
graph_02,water_treatment_system,0,raw_correlation,4,,pending,0.5,0.91777147333554,0.10376984126984126,0.0,0.0,0.0
graph_02,water_treatment_system,0,uniform,4,,pending,0.0,0.9186861636198479,0.1419642857142857,0.0,0.25,0.0
graph_02,water_treatment_system,1,core_oracle_estimated_weights,4,,pending,1.0,0.7694279143279938,0.1607142857142857,0.0,0.25,0.0
graph_02,water_treatment_system,1,core_oracle_true_weights,4,,pending,1.0,0.815141634245662,0.15833333333333333,0.0,0.5,0.0
graph_02,water_treatment_system,1,core_reversed_graph,4,,pending,1.0,0.8895855569450537,0.18645833333333334,0.0,0.5,0.0
graph_02,water_treatment_system,1,core_shuffled_graph,80,,pending,0.375,0.8077646780463903,0.13228060150418897,0.0,0.2,0.0
graph_02,water_treatment_system,1,raw_correlation,4,,pending,1.0,0.9155690132493739,0.09612470862470862,0.0,0.0,0.0
graph_02,water_treatment_system,1,uniform,4,,pending,0.5,0.911174673420246,0.07168560606060606,0.0,0.0,0.0
graph_02,water_treatment_system,2,core_oracle_estimated_weights,4,,pending,0.0,0.7677659145437291,0.09250992063492064,0.0,0.0,0.0
graph_02,water_treatment_system,2,core_oracle_true_weights,4,,pending,0.25,0.8055673073044199,0.10359477124183009,0.0,0.25,0.0
graph_02,water_treatment_system,2,core_reversed_graph,4,,pending,0.5,0.8877375535735611,0.12604166666666666,0.0,0.25,0.0
graph_02,water_treatment_system,2,core_shuffled_graph,80,,pending,0.3375,0.7811572478056295,0.11830292509133453,0.0,0.1625,0.0
graph_02,water_treatment_system,2,raw_correlation,4,,pending,1.0,0.9127539465801483,0.08690476190476189,0.0,0.0,0.0
graph_02,water_treatment_system,2,uniform,4,,pending,0.0,0.9129639814896539,0.08876121298721917,0.0,0.0,0.0
graph_02,water_treatment_system,3,core_oracle_estimated_weights,4,,pending,1.0,0.7783607275301526,0.25,0.0,0.75,0.0
graph_02,water_treatment_system,3,core_oracle_true_weights,4,,pending,1.0,0.841670605729025,0.1942307692307692,0.0,0.5,0.0
graph_02,water_treatment_system,3,core_reversed_graph,4,,pending,1.0,0.8902639353355033,0.19285714285714284,0.0,0.5,0.0
graph_02,water_treatment_system,3,core_shuffled_graph,80,,pending,0.425,0.7735534107916632,0.1471071912156471,0.0,0.2375,0.0
graph_02,water_treatment_system,3,raw_correlation,4,,pending,1.0,0.9179622249484963,0.13897488820089438,0.0,0.25,0.0
graph_02,water_treatment_system,3,uniform,4,,pending,0.5,0.9160124200972923,0.12976998491704375,0.0,0.25,0.0
graph_02,water_treatment_system,4,core_oracle_estimated_weights,4,,pending,0.5,0.5964472221447885,0.21748366013071896,0.0,0.5,0.0
graph_02,water_treatment_system,4,core_oracle_true_weights,4,,pending,0.5,0.6715286905140615,0.22095588235294117,0.0,0.5,0.0
graph_02,water_treatment_system,4,core_reversed_graph,4,,pending,0.5,0.8621278486385828,0.23970588235294116,0.0,0.75,0.0
graph_02,water_treatment_system,4,core_shuffled_graph,80,,pending,0.5375,0.5726342180840673,0.19801048291663617,0.0125,0.4375,0.0125
graph_02,water_treatment_system,4,raw_correlation,4,,pending,0.5,0.9122175440664942,0.1472222222222222,0.0,0.25,0.0
graph_02,water_treatment_system,4,uniform,4,,pending,0.0,0.9155701666180176,0.07457564365459102,0.0,0.0,0.0
