graph_id,world,fold,arm,shuffle_id,term,term_active,optimization_applicable,status,raw_initial_loss,raw_final_loss,raw_loss_delta,active_initial_loss,active_final_loss,active_loss_delta,nonfinite
graph_00,industrial_cooling_system,0,full_oracle,,generation,True,True,,1.783076286315918,0.3413715660572052,-1.4417047202587128,1.783076286315918,0.3413715660572052,-1.4417047202587128,False
graph_00,industrial_cooling_system,0,full_oracle,,residual_norm,True,True,,0.0041015176102519035,0.43048667907714844,0.42638516146689653,0.0041015176102519035,0.43048667907714844,0.42638516146689653,False
graph_00,industrial_cooling_system,0,full_oracle,,residual_alignment,True,True,,0.0018092718673869967,0.053063176572322845,0.05125390470493585,0.0018092718673869967,0.053063176572322845,0.05125390470493585,False
graph_00,industrial_cooling_system,0,full_oracle,,independence,True,True,,0.06234506145119667,0.05999796837568283,-0.0023470930755138397,0.06234506145119667,0.05999796837568283,-0.0023470930755138397,False
graph_00,industrial_cooling_system,0,full_oracle,,bridge,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,full_oracle,,norm,True,True,,0.0002513497893232852,0.0003026131307706237,5.126334144733846e-05,0.0002513497893232852,0.0003026131307706237,5.126334144733846e-05,False
graph_00,industrial_cooling_system,0,generation_only_oracle,,generation,True,True,,1.783076286315918,0.0026683839969336987,-1.7804079023189843,1.783076286315918,0.0026683839969336987,-1.7804079023189843,False
graph_00,industrial_cooling_system,0,generation_only_oracle,,residual_norm,False,True,,0.0041015176102519035,1.3922399282455444,1.3881384106352925,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,generation_only_oracle,,residual_alignment,False,True,,0.0018092718673869967,0.10964158177375793,0.10783230990637094,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,generation_only_oracle,,independence,False,True,,0.06234506145119667,0.06062162667512894,-0.0017234347760677338,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,generation_only_oracle,,bridge,False,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,generation_only_oracle,,norm,False,True,,0.0002513497893232852,0.0004953622701577842,0.000244012480834499,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,oracle_without_generation,,generation,False,True,,1.783076286315918,4.056550025939941,2.2734737396240234,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,oracle_without_generation,,residual_norm,True,True,,0.0041015176102519035,0.09774607419967651,0.09364455658942461,0.0041015176102519035,0.09774607419967651,0.09364455658942461,False
graph_00,industrial_cooling_system,0,oracle_without_generation,,residual_alignment,True,True,,0.0018092718673869967,0.01614753156900406,0.014338259701617062,0.0018092718673869967,0.01614753156900406,0.014338259701617062,False
graph_00,industrial_cooling_system,0,oracle_without_generation,,independence,True,True,,0.06234506145119667,0.04778674617409706,-0.01455831527709961,0.06234506145119667,0.04778674617409706,-0.01455831527709961,False
graph_00,industrial_cooling_system,0,oracle_without_generation,,bridge,True,True,,0.0,2.9202524274296593e-06,2.9202524274296593e-06,0.0,2.9202524274296593e-06,2.9202524274296593e-06,False
graph_00,industrial_cooling_system,0,oracle_without_generation,,norm,True,True,,0.0002513497893232852,9.540829069010215e-07,-0.0002503957064163842,0.0002513497893232852,9.540829069010215e-07,-0.0002503957064163842,False
graph_00,industrial_cooling_system,0,residual_only_oracle,,generation,False,True,,1.783076286315918,1.932607650756836,0.14953136444091797,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,residual_only_oracle,,residual_norm,True,True,,0.0041015176102519035,0.09774607419967651,0.09364455658942461,0.0041015176102519035,0.09774607419967651,0.09364455658942461,False
graph_00,industrial_cooling_system,0,residual_only_oracle,,residual_alignment,True,True,,0.0018092718673869967,0.01614753156900406,0.014338259701617062,0.0018092718673869967,0.01614753156900406,0.014338259701617062,False
graph_00,industrial_cooling_system,0,residual_only_oracle,,independence,False,True,,0.06234506145119667,0.06234506145119667,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,residual_only_oracle,,bridge,False,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,residual_only_oracle,,norm,False,True,,0.0002513497893232852,0.0002513497893232852,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,independence_only_oracle,,generation,False,True,,1.783076286315918,37.69799041748047,35.91491413116455,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,independence_only_oracle,,residual_norm,False,True,,0.0041015176102519035,0.0041015176102519035,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,independence_only_oracle,,residual_alignment,False,True,,0.0018092718673869967,0.0018092718673869967,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,independence_only_oracle,,independence,True,True,,0.06234506145119667,0.047794319689273834,-0.014550741761922836,0.06234506145119667,0.047794319689273834,-0.014550741761922836,False
graph_00,industrial_cooling_system,0,independence_only_oracle,,bridge,True,True,,0.0,2.184323784604203e-05,2.184323784604203e-05,0.0,2.184323784604203e-05,2.184323784604203e-05,False
graph_00,industrial_cooling_system,0,independence_only_oracle,,norm,False,True,,0.0002513497893232852,0.39653751254081726,0.396286162751494,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,symmetrized_oracle,,generation,True,True,,11.186596870422363,1.2044236660003662,-9.982173204421997,11.186596870422363,1.2044236660003662,-9.982173204421997,False
graph_00,industrial_cooling_system,0,symmetrized_oracle,,residual_norm,True,True,,0.0040664346888661385,2.2388086318969727,2.2347421972081065,0.0040664346888661385,2.2388086318969727,2.2347421972081065,False
graph_00,industrial_cooling_system,0,symmetrized_oracle,,residual_alignment,True,True,,0.016089539974927902,0.33048978447914124,0.31440024450421333,0.016089539974927902,0.33048978447914124,0.31440024450421333,False
graph_00,industrial_cooling_system,0,symmetrized_oracle,,independence,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,symmetrized_oracle,,bridge,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,symmetrized_oracle,,norm,True,True,,0.0002483671996742487,0.003868074854835868,0.003619707655161619,0.0002483671996742487,0.003868074854835868,0.003619707655161619,False
graph_00,industrial_cooling_system,0,markov_blanket_oracle,,generation,True,True,,17.585237503051758,1.7627170085906982,-15.82252049446106,17.585237503051758,1.7627170085906982,-15.82252049446106,False
graph_00,industrial_cooling_system,0,markov_blanket_oracle,,residual_norm,True,True,,0.004068039357662201,3.3964526653289795,3.3923846259713173,0.004068039357662201,3.3964526653289795,3.3923846259713173,False
graph_00,industrial_cooling_system,0,markov_blanket_oracle,,residual_alignment,True,True,,0.026899198070168495,0.39308539032936096,0.36618619225919247,0.026899198070168495,0.39308539032936096,0.36618619225919247,False
graph_00,industrial_cooling_system,0,markov_blanket_oracle,,independence,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,markov_blanket_oracle,,bridge,True,True,,0.0,2.4692029910511337e-05,2.4692029910511337e-05,0.0,2.4692029910511337e-05,2.4692029910511337e-05,False
graph_00,industrial_cooling_system,0,markov_blanket_oracle,,norm,True,True,,0.0002488705504219979,0.005026142578572035,0.004777272028150037,0.0002488705504219979,0.005026142578572035,0.004777272028150037,False
graph_00,industrial_cooling_system,0,same_module_graph,,generation,True,True,,6.89892053604126,0.6850384473800659,-6.213882088661194,6.89892053604126,0.6850384473800659,-6.213882088661194,False
graph_00,industrial_cooling_system,0,same_module_graph,,residual_norm,True,True,,0.004069680348038673,1.3333855867385864,1.3293159063905478,0.004069680348038673,1.3333855867385864,1.3293159063905478,False
graph_00,industrial_cooling_system,0,same_module_graph,,residual_alignment,True,True,,0.032013703137636185,0.19860494136810303,0.16659123823046684,0.032013703137636185,0.19860494136810303,0.16659123823046684,False
graph_00,industrial_cooling_system,0,same_module_graph,,independence,True,True,,0.0553496815264225,0.05365775153040886,-0.0016919299960136414,0.0553496815264225,0.05365775153040886,-0.0016919299960136414,False
graph_00,industrial_cooling_system,0,same_module_graph,,bridge,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,same_module_graph,,norm,True,True,,0.0002488563768565655,0.004568145610392094,0.004319289233535528,0.0002488563768565655,0.004568145610392094,0.004319289233535528,False
graph_00,industrial_cooling_system,0,reversed_full,,generation,True,True,,3.419745922088623,0.3890882730484009,-3.030657649040222,3.419745922088623,0.3890882730484009,-3.030657649040222,False
graph_00,industrial_cooling_system,0,reversed_full,,residual_norm,True,True,,0.004013547208160162,0.693074643611908,0.6890610964037478,0.004013547208160162,0.693074643611908,0.6890610964037478,False
graph_00,industrial_cooling_system,0,reversed_full,,residual_alignment,True,True,,0.009419872425496578,0.09094087034463882,0.08152099791914225,0.009419872425496578,0.09094087034463882,0.08152099791914225,False
graph_00,industrial_cooling_system,0,reversed_full,,independence,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,reversed_full,,bridge,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,reversed_full,,norm,True,True,,0.0002516893146093935,0.0016432848060503602,0.0013915954914409667,0.0002516893146093935,0.0016432848060503602,0.0013915954914409667,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_00,generation,True,True,,3.124627113342285,0.48490336537361145,-2.6397237479686737,3.124627113342285,0.48490336537361145,-2.6397237479686737,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_00,residual_norm,True,True,,0.003927608486264944,0.6830636858940125,0.6791360774077475,0.003927608486264944,0.6830636858940125,0.6791360774077475,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_00,residual_alignment,True,True,,0.04290928319096565,0.1515318751335144,0.10862259194254875,0.04290928319096565,0.1515318751335144,0.10862259194254875,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_00,independence,True,True,,0.05957973748445511,0.038745034486055374,-0.020834702998399734,0.05957973748445511,0.038745034486055374,-0.020834702998399734,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_00,bridge,True,True,,0.0,1.0802914403029718e-05,1.0802914403029718e-05,0.0,1.0802914403029718e-05,1.0802914403029718e-05,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_00,norm,True,True,,0.00027757041971199214,0.005532586947083473,0.005255016527371481,0.00027757041971199214,0.005532586947083473,0.005255016527371481,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_01,generation,True,True,,2.4462831020355225,0.30559098720550537,-2.140692114830017,2.4462831020355225,0.30559098720550537,-2.140692114830017,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_01,residual_norm,True,True,,0.004036671482026577,0.4382099211215973,0.4341732496395707,0.004036671482026577,0.4382099211215973,0.4341732496395707,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_01,residual_alignment,True,True,,0.04424646869301796,0.06239074841141701,0.018144279718399048,0.04424646869301796,0.06239074841141701,0.018144279718399048,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_01,independence,True,True,,0.06417521089315414,0.0651417002081871,0.000966489315032959,0.06417521089315414,0.0651417002081871,0.000966489315032959,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_01,bridge,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_01,norm,True,True,,0.0002475145738571882,0.009160110726952553,0.008912596153095365,0.0002475145738571882,0.009160110726952553,0.008912596153095365,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_02,generation,True,True,,2.9619076251983643,0.4141553044319153,-2.547752320766449,2.9619076251983643,0.4141553044319153,-2.547752320766449,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_02,residual_norm,True,True,,0.0039783651009202,0.586593508720398,0.5826151436194777,0.0039783651009202,0.586593508720398,0.5826151436194777,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_02,residual_alignment,True,True,,0.04818997532129288,0.09817734360694885,0.049987368285655975,0.04818997532129288,0.09817734360694885,0.049987368285655975,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_02,independence,True,True,,0.06252984702587128,0.05394739657640457,-0.008582450449466705,0.06252984702587128,0.05394739657640457,-0.008582450449466705,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_02,bridge,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_02,norm,True,True,,0.00024722094531171024,0.007885896600782871,0.007638675655471161,0.00024722094531171024,0.007885896600782871,0.007638675655471161,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_03,generation,True,True,,2.481444835662842,0.32645806670188904,-2.1549867689609528,2.481444835662842,0.32645806670188904,-2.1549867689609528,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_03,residual_norm,True,True,,0.004014185164123774,0.47743502259254456,0.4734208374284208,0.004014185164123774,0.47743502259254456,0.4734208374284208,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_03,residual_alignment,True,True,,0.03050272725522518,0.062162723392248154,0.03165999613702297,0.03050272725522518,0.062162723392248154,0.03165999613702297,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_03,independence,True,True,,0.06369756162166595,0.05873443931341171,-0.004963122308254242,0.06369756162166595,0.05873443931341171,-0.004963122308254242,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_03,bridge,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_03,norm,True,True,,0.0002511645434424281,0.01363743282854557,0.013386268285103142,0.0002511645434424281,0.01363743282854557,0.013386268285103142,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_04,generation,True,True,,2.6690380573272705,0.3002259433269501,-2.3688121140003204,2.6690380573272705,0.3002259433269501,-2.3688121140003204,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_04,residual_norm,True,True,,0.004012478515505791,0.41098520159721375,0.40697272308170795,0.004012478515505791,0.41098520159721375,0.40697272308170795,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_04,residual_alignment,True,True,,0.03255036845803261,0.0427967831492424,0.010246414691209793,0.03255036845803261,0.0427967831492424,0.010246414691209793,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_04,independence,True,True,,0.06471401453018188,0.05944650247693062,-0.0052675120532512665,0.06471401453018188,0.05944650247693062,-0.0052675120532512665,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_04,bridge,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_04,norm,True,True,,0.0002791305014397949,0.04127664491534233,0.040997514413902536,0.0002791305014397949,0.04127664491534233,0.040997514413902536,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_05,generation,True,True,,2.594329357147217,0.3687226176261902,-2.2256067395210266,2.594329357147217,0.3687226176261902,-2.2256067395210266,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_05,residual_norm,True,True,,0.004063532687723637,0.4971630275249481,0.4930994948372245,0.004063532687723637,0.4971630275249481,0.4930994948372245,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_05,residual_alignment,True,True,,0.046083755791187286,0.06378785520792007,0.017704099416732788,0.046083755791187286,0.06378785520792007,0.017704099416732788,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_05,independence,True,True,,0.06532683968544006,0.06530863046646118,-1.8209218978881836e-05,0.06532683968544006,0.06530863046646118,-1.8209218978881836e-05,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_05,bridge,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_05,norm,True,True,,0.00024833346833474934,0.0029401984065771103,0.002691864938242361,0.00024833346833474934,0.0029401984065771103,0.002691864938242361,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_06,generation,True,True,,3.199680805206299,0.4227871894836426,-2.7768936157226562,3.199680805206299,0.4227871894836426,-2.7768936157226562,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_06,residual_norm,True,True,,0.004027693532407284,0.6073645353317261,0.6033368417993188,0.004027693532407284,0.6073645353317261,0.6033368417993188,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_06,residual_alignment,True,True,,0.043216969817876816,0.10012100636959076,0.056904036551713943,0.043216969817876816,0.10012100636959076,0.056904036551713943,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_06,independence,True,True,,0.06634398549795151,0.06529287248849869,-0.0010511130094528198,0.06634398549795151,0.06529287248849869,-0.0010511130094528198,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_06,bridge,True,True,,0.0,1.8108446965925395e-05,1.8108446965925395e-05,0.0,1.8108446965925395e-05,1.8108446965925395e-05,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_06,norm,True,True,,0.00024983903858810663,0.006786521058529615,0.006536682019941509,0.00024983903858810663,0.006786521058529615,0.006536682019941509,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_07,generation,True,True,,2.9529898166656494,0.4166216552257538,-2.5363681614398956,2.9529898166656494,0.4166216552257538,-2.5363681614398956,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_07,residual_norm,True,True,,0.0039853365160524845,0.577732503414154,0.5737471668981016,0.0039853365160524845,0.577732503414154,0.5737471668981016,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_07,residual_alignment,True,True,,0.048582229763269424,0.09742241352796555,0.04884018376469612,0.048582229763269424,0.09742241352796555,0.04884018376469612,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_07,independence,True,True,,0.06659185141324997,0.058524005115032196,-0.008067846298217773,0.06659185141324997,0.058524005115032196,-0.008067846298217773,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_07,bridge,True,True,,0.0,0.0,0.0,0.0,0.0,0.0,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_07,norm,True,True,,0.00027746681007556617,0.013182195834815502,0.012904729024739936,0.00027746681007556617,0.013182195834815502,0.012904729024739936,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_08,generation,True,True,,3.440863609313965,0.5558240413665771,-2.8850395679473877,3.440863609313965,0.5558240413665771,-2.8850395679473877,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_08,residual_norm,True,True,,0.00389307364821434,0.7397153973579407,0.7358223237097263,0.00389307364821434,0.7397153973579407,0.7358223237097263,False
graph_00,industrial_cooling_system,0,shuffled_full,shuffle_08,residual_alignment,True,True,,0.04650736227631569,0.15133336186408997,0.10482599958777428,0.04650736227631569,0.15133336186408997,0.10482599958777428,False
