scope,graph_id,world,group,arm,n_instances,n_nodes,judge_acc,judge_status,displacement_norm,gold_cosine,centered_cosine,prediction_margin,mrr,recall_at_1,recall_at_5,match_acc,exact
,,,root,full_oracle,18,18,,pending,0.22695140169586164,0.5016680963605152,0.12054109241378826,-0.20847084324019588,0.2846191843740863,0.0,0.6111111111111112,0.7222222222222222,0.0
,,,root,generation_only_oracle,18,18,,pending,0.1441549787534042,0.5705727980509643,0.1195629115965003,-0.17314770715584415,0.2728907893123579,0.0,0.5555555555555556,0.7222222222222222,0.0
,,,root,oracle_without_generation,18,18,,pending,1.1191873327441888,0.10581889547854904,0.09693378761415859,-0.17509301653101997,0.28409681611435994,0.0,0.6666666666666666,0.6666666666666666,0.0
,,,root,residual_only_oracle,18,18,,pending,2.6776010458561526e-08,0.5841114751989603,0.12161501175884783,-0.18315573241649588,0.2820197776080129,0.0,0.5555555555555556,0.7777777777777778,0.0
,,,root,independence_only_oracle,18,18,,pending,4.661422010397632,0.10671522097414815,0.12848085014607258,-0.20236709108516887,0.3219135802469136,0.0,0.7222222222222222,0.7222222222222222,0.0
,,,root,symmetrized_oracle,18,18,,pending,0.6902177058856507,0.4975132684136482,0.07439432301604224,-0.1780907192992437,0.25792699827787546,0.0,0.6666666666666666,0.6666666666666666,0.0
,,,root,markov_blanket_oracle,18,18,,pending,0.7476311260506552,0.3782649528949457,0.06832943185239157,-0.17794424493298822,0.2615506407173074,0.0,0.6111111111111112,0.5555555555555556,0.0
,,,root,same_module_graph,18,18,,pending,0.8532424855983264,0.3785465121791543,0.03536309233556465,-0.17129260082213743,0.21259920634920634,0.0,0.3888888888888889,0.4444444444444444,0.0
,,,root,reversed_full,18,18,,pending,0.7874076846264928,0.8673496627093013,0.10231609786533555,-0.10643545321334665,0.2708904521404521,0.0,0.6666666666666666,0.7222222222222222,0.0
,,,root,shuffled_full,360,18,,pending,1.1984241446254928,0.6207031910412402,0.005965332561667574,-0.1511246442157354,0.16973852801252182,0.0,0.3138888888888889,0.39444444444444443,0.0
,,,root,raw_correlation,18,18,,pending,0.8593141202460094,0.9125491530346572,0.0010213047921436107,-0.04240412480729398,0.1359554026220693,0.0,0.2222222222222222,0.6666666666666666,0.0
,,,root,uniform,18,18,,pending,0.9359547913593076,0.9147146856724186,-0.4330210373594945,-0.024248431283193025,0.09607487288730837,0.0,0.1111111111111111,0.2222222222222222,0.0
,,,non_root,full_oracle,42,42,,pending,0.11228645643436565,0.850007758080527,0.10188347683011643,-0.06982961019031049,0.19300096832991567,0.0,0.5238095238095238,0.6666666666666666,0.0
,,,non_root,generation_only_oracle,42,42,,pending,0.30176898909074523,0.7881359772730234,0.07605208647045075,-0.08237874964681924,0.20754787295034968,0.0,0.47619047619047616,0.6666666666666666,0.0
,,,non_root,oracle_without_generation,42,42,,pending,1.0116823254971337,0.38495294363768956,0.04870984107140617,-0.0885644035252027,0.17021190658408705,0.023809523809523808,0.2857142857142857,0.6428571428571429,0.023809523809523808
,,,non_root,residual_only_oracle,42,42,,pending,2.4216240645758805e-08,0.8532674160979691,0.10066182679266149,-0.06562831271951827,0.19119154409402087,0.0,0.5,0.7619047619047619,0.0
,,,non_root,independence_only_oracle,42,42,,pending,3.720855229781094,0.41185878235091994,0.09751110449450177,-0.09419050747774046,0.1782862945816285,0.0,0.3333333333333333,0.6666666666666666,0.0
,,,non_root,symmetrized_oracle,42,42,,pending,0.6903780313375305,0.37571964587354456,0.08288915702439426,-0.12395615633844197,0.21590694358551504,0.0,0.5714285714285714,0.7857142857142857,0.0
,,,non_root,markov_blanket_oracle,42,42,,pending,0.9299101730724919,0.04546505254552599,0.049188265543298235,-0.12605145992836744,0.19608552822838532,0.0,0.4523809523809524,0.6190476190476191,0.0
,,,non_root,same_module_graph,42,42,,pending,0.5642875388041789,0.7939910107084177,0.032523584776147176,-0.121647935444817,0.17136038564609996,0.0,0.40476190476190477,0.5476190476190477,0.0
,,,non_root,reversed_full,42,42,,pending,0.4928208596589529,0.880596098682621,0.07634776949828515,-0.0679044002138189,0.18379542376391114,0.0,0.40476190476190477,0.7142857142857143,0.0
,,,non_root,shuffled_full,840,42,,pending,0.7546435721084287,0.7979688958212241,-0.0005204622854903367,-0.12184972019605637,0.1441818399751836,0.0,0.25,0.3678571428571429,0.0
,,,non_root,raw_correlation,42,42,,pending,0.3904861678028244,0.9173395730843952,-0.09958034564588512,-0.02396990576412985,0.1079580656537755,0.0,0.11904761904761904,0.7380952380952381,0.0
,,,non_root,uniform,42,42,,pending,0.41940611853640875,0.9155970774461867,-0.4082218455852107,-0.023395916136233225,0.09025890597927307,0.0,0.047619047619047616,0.2857142857142857,0.0
,,,non_root_visible_parent,full_oracle,42,42,,pending,0.11228645643436565,0.850007758080527,0.10188347683011643,-0.06982961019031049,0.19300096832991567,0.0,0.5238095238095238,0.6666666666666666,0.0
,,,non_root_visible_parent,generation_only_oracle,42,42,,pending,0.30176898909074523,0.7881359772730234,0.07605208647045075,-0.08237874964681924,0.20754787295034968,0.0,0.47619047619047616,0.6666666666666666,0.0
,,,non_root_visible_parent,oracle_without_generation,42,42,,pending,1.0116823254971337,0.38495294363768956,0.04870984107140617,-0.0885644035252027,0.17021190658408705,0.023809523809523808,0.2857142857142857,0.6428571428571429,0.023809523809523808
