analysis,group,comparison,primary_arm,comparator_arm,metric,status,mean,ci_low,ci_high,confidence_level,paired_win_rate,bootstrap_positive_rate,draws,seed,n_graphs,n_folds,n_nodes
structural_group,non_root,full_oracle_minus_reversed_full,full_oracle,reversed_full,centered_cosine,complete,0.025535707331831293,-0.01272150688562322,0.06827708212458648,0.95,0.5476190476190477,0.8959,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_reversed_full,full_oracle,reversed_full,prediction_margin,complete,-0.0019252099764915718,-0.016805833444296762,0.012868271334892439,0.95,0.4523809523809524,0.394,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_reversed_full,full_oracle,reversed_full,mrr,complete,0.009205544566004536,-0.023298661321332133,0.044186675288648974,0.95,0.40476190476190477,0.6845,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_reversed_full,full_oracle,reversed_full,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_reversed_full,full_oracle,reversed_full,recall_at_5,complete,0.11904761904761904,-0.13953488372093023,0.32558139534883723,0.95,0.19047619047619047,0.8146,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_reversed_full,full_oracle,reversed_full,match_acc,complete,-0.047619047619047616,-0.2682926829268293,0.14285714285714285,0.95,0.07142857142857142,0.2978,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_reversed_full,full_oracle,reversed_full,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,gold_cosine,complete,0.052038862259302675,-0.06100426248701564,0.1118035992322277,0.95,0.9285714285714286,0.8828,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,centered_cosine,complete,0.10240393911560682,0.04143875363083264,0.16857216171859588,0.95,0.8809523809523809,1.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,prediction_margin,complete,0.0520201100057459,0.03556061596765646,0.06974180248948142,0.95,0.9047619047619048,1.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,mrr,complete,0.04881912835473206,-0.0012224161372655553,0.1043510701985133,0.95,0.7380952380952381,0.9714,10000,88174,3,15,42
