graph_id,world,fold,node_id,arm,shuffle_id,term,term_active,optimization_applicable,status,raw_final_gradient_norm,active_final_gradient_norm,total_final_gradient_norm,raw_near_zero,near_zero,exploding,nonfinite
graph_00,industrial_cooling_system,0,node_018,generation_only_oracle,,independence,False,True,,0.0,0.0,0.01865180768072605,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,generation_only_oracle,,bridge,False,True,,0.0,0.0,0.01219401229172945,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,generation_only_oracle,,bridge,False,True,,0.0,0.0,0.024750420823693275,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,generation_only_oracle,,bridge,False,True,,0.0,0.0,0.01673138327896595,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,generation_only_oracle,,bridge,False,True,,0.0,0.0,0.01865180768072605,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,generation_only_oracle,,norm,False,True,,0.0003533565322868526,0.0,0.01219401229172945,False,True,False,False
graph_00,industrial_cooling_system,0,node_007,generation_only_oracle,,norm,False,True,,0.002301567466929555,0.0,0.024750420823693275,False,True,False,False
graph_00,industrial_cooling_system,0,node_012,generation_only_oracle,,norm,False,True,,0.00033155432902276516,0.0,0.01673138327896595,False,True,False,False
graph_00,industrial_cooling_system,0,node_018,generation_only_oracle,,norm,False,True,,0.0029414240270853043,0.0,0.01865180768072605,False,True,False,False
graph_00,industrial_cooling_system,0,node_000,oracle_without_generation,,generation,False,True,,0.32927635312080383,0.0,0.0001553831243654713,False,True,False,False
graph_00,industrial_cooling_system,0,node_007,oracle_without_generation,,generation,False,True,,1.4992928504943848,0.0,0.00010217177623417228,False,True,False,False
graph_00,industrial_cooling_system,0,node_012,oracle_without_generation,,generation,False,True,,1.4019560813903809,0.0,0.0002543983864597976,False,True,False,False
graph_00,industrial_cooling_system,0,node_018,oracle_without_generation,,generation,False,True,,0.9454042911529541,0.0,3.719364258358837e-06,False,True,False,False
graph_00,industrial_cooling_system,0,node_000,oracle_without_generation,,residual_norm,True,True,,0.0,0.0,0.0001553831243654713,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,oracle_without_generation,,residual_norm,True,True,,0.0,0.0,0.00010217177623417228,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,oracle_without_generation,,residual_norm,True,True,,0.0,0.0,0.0002543983864597976,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,oracle_without_generation,,residual_norm,True,True,,0.0,0.0,3.719364258358837e-06,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,oracle_without_generation,,residual_alignment,True,True,,0.0,0.0,0.0001553831243654713,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,oracle_without_generation,,residual_alignment,True,True,,0.0,0.0,0.00010217177623417228,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,oracle_without_generation,,residual_alignment,True,True,,0.0,0.0,0.0002543983864597976,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,oracle_without_generation,,residual_alignment,True,True,,0.0,0.0,3.719364258358837e-06,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,oracle_without_generation,,independence,True,True,,4.613985584001057e-05,4.613985584001057e-05,0.0001553831243654713,False,False,False,False
graph_00,industrial_cooling_system,0,node_007,oracle_without_generation,,independence,True,True,,0.0003111407859250903,0.0003111407859250903,0.00010217177623417228,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,oracle_without_generation,,independence,True,True,,0.00025343120796605945,0.00025343120796605945,0.0002543983864597976,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,oracle_without_generation,,independence,True,True,,0.0,0.0,3.719364258358837e-06,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,oracle_without_generation,,bridge,True,True,,0.0,0.0,0.0001553831243654713,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,oracle_without_generation,,bridge,True,True,,0.0002554719685576856,0.0002554719685576856,0.00010217177623417228,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,oracle_without_generation,,bridge,True,True,,0.0,0.0,0.0002543983864597976,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,oracle_without_generation,,bridge,True,True,,0.0,0.0,3.719364258358837e-06,True,True,False,False
