probe_id,dataset,implementation_dataset_id,role,arm,latent_constraints,n_items,n_folds,judge_status,judge_acc,match_acc,exact_acc,gold_cosine,centered_cosine,prediction_margin,mrr,recall_at_1,recall_at_5,reference_match_acc,reference_source
bigfive2__latcon0,bigfive,bigfive2,hierarchy,hierarchy_without_latent_constraints,False,50,5,pending,,0.54,0.06000000000000001,0.9190566642692616,0.17688700026057683,-0.02137763657458435,0.26538059163059163,0.06000000000000001,0.58,0.66,Week-6 report
bigfive2__latcon1,bigfive,bigfive2,hierarchy,hierarchy_with_latent_constraints,True,50,5,pending,,0.62,0.02,0.9244222096424595,0.21475173821135657,-0.02490442301300521,0.2394621848739496,0.02,0.54,0.74,Week-6 report
himi,himi,himi,dev,core,True,17,5,pending,,0.8,0.0,0.8810645343636734,0.45703602691266615,-0.08187921461044499,0.3805555555555555,0.0,1.0,0.9,Week-6 report
himi,himi,himi,dev,raw_correlation,True,17,5,pending,,0.7666666666666667,0.0,0.9142150445594452,-0.08514454273503941,-0.02772433972195577,0.12480100373482728,0.0,0.11666666666666665,0.767,Week-6 report
himi,himi,himi,dev,uniform,True,17,5,pending,,0.3833333333333333,0.0,0.9084564828926057,-0.5061576938584628,-0.027816789468357427,0.0792649425737661,0.0,0.0,0.567,Week-6 report
kims,kims,kims,heldout,core,True,39,5,pending,,0.6928571428571428,0.0,0.8062877789882646,0.2579479060414724,-0.027724474552422506,0.158939300373833,0.0,0.23214285714285712,0.675,Week-6 report
kims,kims,kims,heldout,raw_correlation,True,39,5,pending,,0.9,0.05357142857142857,0.9403530872886716,0.23066481009656892,-0.022036012548140155,0.16039622212774846,0.05357142857142857,0.23214285714285712,0.85,Week-6 report
kims,kims,kims,heldout,uniform,True,39,5,pending,,0.15357142857142855,0.02857142857142857,0.9336958651880813,-0.323730323406942,-0.02363060567742598,0.08215248593981732,0.02857142857142857,0.05357142857142857,0.154,Week-6 report
